"","site","round","sample_pt","sample_id","sampledImp","julian_date","subsite","lat","long","impatiens_abundance","rufocinctus_abundance","californicus_abundance","vos_abundance","flavifrons_abundance","mixtus_abundance","bombus_shannon_diversity","floral_diversity","floral_abundance","prop_blueberry","prop_edge","landscape_shdi","barcode_id","final_id","apidae","apicystis","ascosphaera","nbombii","nceranae","crithidiaspp","cbombii","cexpoeki","caste","hascrithidia","hasnosema","any_parasite","native_bee_abundance","weighted_z_mix","weighted_z_imp","weighted_z_flav","weighted_z_rufo","weighted_z_cal","weighted_z_vos","adjusted_julian"
"28","W",1,"W02","1_W02",FALSE,130,"westham3","49.0898095","-123.1642782",0,0,0,0,0,0,0,0.0315129586360001,4.00177696707744,0.0464404051517536,0.0772635702151828,1.13256835057088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"29","W",1,"W11","1_W11",FALSE,131,"westham3","49.085613","-123.1649155",0,0,0,0,0,1,0,0.304636097349238,2.04532297878666,0.00788242642091443,0.0278268517456311,1.09924114336925,"W1_11_01","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,1,-2.34464626985152,-4.5399733246589,-3.23975263687772,-2.98151280695424,-4.41739099921396,-3.30343264670847,-2.34464626985152
"30","W",1,"W10","1_W10",FALSE,131,"westham3","49.0877613","-123.1628726",0,0,0,0,0,0,0,1.20567904997478,1.50514997831991,0.0464489226152721,0.0502138466672271,1.0183245402172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.34464626985152,-4.5399733246589,-3.23975263687772,-2.98151280695424,-4.41739099921396,-3.30343264670847,0
"31","W",1,"W32","1_W32",FALSE,131,"westham3","49.0861264","-123.1586962",0,0,0,0,0,0,0,1.09861228866811,1.49136169383427,0,0.0174040476835064,0.229152829217872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.34464626985152,-4.5399733246589,-3.23975263687772,-2.98151280695424,-4.41739099921396,-3.30343264670847,0
"32","W",1,"W12","1_W12",FALSE,131,"","49.0840043","-123.1535249",0,0,0,0,1,0,0,0.85158425391957,2.32428245529769,0,0.0706790507985019,1.48296413415686,"W1_12_01","B. flavifrons",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,1,-2.34464626985152,-4.5399733246589,-3.23975263687772,-2.98151280695424,-4.41739099921396,-3.30343264670847,-3.23975263687772
"33","W",1,"W14","1_W14",FALSE,131,"westham4","49.0825662","-123.1491034",0,0,0,0,0,0,0,0,1.04139268515823,0,0.0505641969440073,1.27241804790156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.34464626985152,-4.5399733246589,-3.23975263687772,-2.98151280695424,-4.41739099921396,-3.30343264670847,0
"34","SD",8,"SD04","8_SD04",TRUE,216,"","49.0600315","-123.0713156",0,0,0,0,0,0,0,0.133029486536164,3.01029995663981,0.151522315215526,0.129742817379368,1.40979329217987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0
"35","SD",8,"SD02","8_SD02",TRUE,216,"","49.062963","-123.07138",0,0,0,0,0,0,0,1.30706237811781,1.51851393987789,0.389004697891033,0.0248787395009253,1.11519940704848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0
"36","SD",8,"SD01","8_SD01",TRUE,216,"","49.0630333","-123.0765727",0,0,0,0,0,0,0,0.903473594825037,2.32837960343874,0,0.118109925977142,1.48339856858025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0
"37","SD",8,"SD03","8_SD03",TRUE,216,"southdelta3","49.0601615","-123.0764268",0,0,0,0,0,0,0,1.17901500103079,2.36735592102602,0,0.205627777156395,1.43208854457678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0
"38","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_14","B. californicus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.718145368265962
"39","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_23","B. californicus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.718145368265962
