"","site","round","sample_pt","sample_id","year","barcode_id","active_flower","pre_id","final_id","notes","plate","well","microcentrifuge","pollen","natalia_pollen","gut_plate","subsite","lat","long"
"246","SD",9,"SD24","9_SD24",2022,"SD9_24_02","CIVU","B. impatiens","B. impatiens","","impatiens_DNA_07","H10","y","n","","bcparasite03_D1","southdelta1","49.0659931","-123.0585976"
"247","ED",9,"ED31","9_ED31",2022,"ED9_31_05","SCAU","B. impatiens","B. impatiens","","impatiens_DNA_08","C12","y","n","","bcparasite03_D10","eastdelta4","49.091685","-122.9349074"
"248","SD",6,"SD37","6_SD37",2022,"SD6_37_04","LOCO","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite03_D11","southdelta4","49.0602593","-123.058988"
"249","SD",6,"SD24","6_SD24",2022,"SD6_24_06","LASY","B. impatiens","B. impatiens","","impatiens_DNA_08","D6","y","y","","bcparasite03_D12","southdelta1","49.0659931","-123.0585976"
"250","ED",2,"ED27","2_ED27",2022,"ED2_27_05","VISA","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite03_D2","eastdelta1","49.1002059","-122.9312067"
"251","SD",3,"SD39","3_SD39",2022,"SD3_39_02","PHTA","B. mixtus","B. mixtus","queen","mixtus_DNA_08","D5","y","n","","bcparasite03_D3","southdelta2","49.0682854","-123.0740915"
"252","SD",9,"SD24","9_SD24",2022,"SD9_24_05","LASY","B. impatiens","B. californicus","","","","y","y","","bcparasite03_D4","southdelta1","49.0659931","-123.0585976"
"253","PM",5,"PM70","5_PM70",2022,"PM5_70_05","SYAL","B. mixtus","B. mixtus","","mixtus_DNA_07","H2","y","n","","bcparasite03_D5","pittmeadows4","49.2451356","-122.638063"
"254","SD",9,"SD30","9_SD30",2022,"SD9_30_14","RARA","B. vosnesenskii","B. vosnesenskii","","","","","","","bcparasite03_D6","southdelta4","49.0566301","-123.0652652"
"255","NR",9,"NR06A","9_NR06A",2022,"NR9_06A_01","flying","B. impatiens","B. impatiens","","impatiens_DNA_08","C2","y","y","","bcparasite03_D7","nicomekl1","49.0895774","-122.7639943"
"256","NR",5,"NR14A","5_NR14A",2022,"NR5_14A_03","TRME","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite03_D8","nicomekl4","49.0803908","-122.7595179"
"257","HR",1,"HR09","1_HR09",2022,"HR1_09_02","N/A","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite03_D9","harvieroad2","49.1626103","-122.7282396"
"258","ED",8,"ED12","8_ED12",2022,"ED8_12_01","SPDO","B. impatiens","B. impatiens","","impatiens_DNA_07","H11","n","y","","bcparasite03_E1","eastdelta4","49.0941941","-122.9295817"
"259","HR",8,"HR23","8_HR23",2022,"HR8_23_05","SANE","B. impatiens","B. impatiens","","impatiens_DNA_08","D1","y","n","","bcparasite03_E10","harvieroad4","49.1518644","-122.70223"
"260","NR",1,"NR43","1_NR43",2022,"NR1_43_16","LUPO","B. mixtus","B. mixtus","","mixtus_DNA_02","B1","y","y","","bcparasite03_E11","nicomekl2","49.0834488","-122.776728"
"261","HR",8,"HR19A","8_HR19A",2022,"HR8_19A_01","TAVU","B. impatiens","B. impatiens","","impatiens_DNA_08","D7","y","n","","bcparasite03_E12","harvieroad1","49.1578943","-122.7080699"
"262","HR",2,"HR21","2_HR21",2022,"HR2_21_03","RARE","B. mixtus","B. mixtus","","mixtus_DNA_05","H9","y","n","","bcparasite03_E2","harvieroad4","49.1517732","-122.712283"
"263","PM",7,"PM61","7_PM61",2022,"PM7_61_01","CASI","B. impatiens","B. impatiens","","impatiens_DNA_08","A5","y","n","","bcparasite03_E3","pittmeadows2","49.2545201","-122.6668191"
"264","SD",5,"SD26","5_SD26",2022,"SD5_26_06","VIVI","B. californicus","B. californicus","","","","y","y","","bcparasite03_E4","southdelta4","49.0584528","-123.0671996"
"265","SD",6,"SD37","6_SD37",2022,"SD6_37_09","VICR","B. impatiens","B. impatiens","","impatiens_DNA_08","B3","y","y","","bcparasite03_E5","southdelta4","49.0602593","-123.058988"
"266","SD",6,"SD26","6_SD26",2022,"SD6_26_19","VIVI","B. mixtus","B. mixtus","","mixtus_DNA_07","F6","y","n","","bcparasite03_E6","southdelta4","49.0584528","-123.0671996"
"267","ED",5,"ED28A","5_ED28A",2022,"ED5_28A_01","TRME","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite03_E7","eastdelta1","49.1007889","-122.9346452"
"268","PM",2,"PM49","2_PM49",2022,"PM2_49_04","SYAL","B. mixtus","B. mixtus","","mixtus_DNA_06","H10","y","y","","bcparasite03_E8","pittmeadows4","49.2474187","-122.6406256"
"269","SD",7,"SD03","7_SD03",2022,"SD7_03_06","VICR","B. impatiens","B. impatiens","","impatiens_DNA_08","C8","y","n","","bcparasite03_E9","southdelta3","49.0601615","-123.0764268"
"270","ED",7,"ED31","7_ED31",2022,"ED7_31_02","HYRA","B. impatiens","B. impatiens","","impatiens_DNA_07","H12","y","y","","bcparasite03_F1","eastdelta4","49.091685","-122.9349074"
"271","NR",7,"NR31","7_NR31",2022,"NR7_31_01","CASI","B. impatiens","B. impatiens","","impatiens_DNA_08","D2","y","n","","bcparasite03_F10","nicomekl4","49.0774111","-122.7568679"
"272","SD",8,"SD36","8_SD36",2022,"SD8_36_15","VICR","B. mixtus","B. mixtus","","mixtus_DNA_02","H10","y","n","","bcparasite03_F11","southdelta3","49.0597409","-123.0816311"
"273","HR",10,"HR26","10_HR26",2022,"HR10_26_01","SODU","B. impatiens","B. impatiens","","impatiens_DNA_08","D8","y","y","","bcparasite03_F12","harvieroad1","49.1592195","-122.7127155"
"274","ED",3,"ED25B","3_ED25B",2022,"ED3_25B_02","N/A","B. mixtus","B. mixtus","","mixtus_DNA_08","F8","y","y","","bcparasite03_F2","eastdelta1","49.10081","-122.9371909"
"275","SD",7,"SD26","7_SD26",2022,"SD7_26_05","TRHY","B. impatiens","B. impatiens","","impatiens_DNA_08","A6","n","y","","bcparasite03_F3","southdelta4","49.0584528","-123.0671996"
"276","SD",9,"SD30","9_SD30",2022,"SD9_30_02","RARA","B. vosnesenskii","B. vosnesenskii","","","","y","n","","bcparasite03_F4","southdelta4","49.0566301","-123.0652652"
"277","NR",3,"NR01","3_NR01",2022,"NR3_01_04","RONU","B. impatiens","B. impatiens","","impatiens_DNA_08","B4","y","y","","bcparasite03_F5","nicomekl2","49.089725","-122.7790482"
"278","W",7,"W18","7_W18",2022,"W7_18_01","VEVI","B. mixtus","B. mixtus","","mixtus_DNA_05","A11","y","y","","bcparasite03_F6","westham4","49.0821167","-123.1545951"
"279","W",4,"W18A","4_W18A",2022,"W4_18A_02","VIVI","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite03_F7","westham4","49.0811246","-123.1523551"
"280","SD",8,"SD09","8_SD09",2022,"SD8_09_02","PEMA","B. mixtus","B. mixtus","","mixtus_DNA_02","D6","y","y","","bcparasite03_F8","southdelta1","49.0661823","-123.0625536"
"281","PM",9,"PM61","9_PM61",2022,"PM9_61_02","HYRA","B. impatiens","B. impatiens","","impatiens_DNA_08","C9","y","y","","bcparasite03_F9","pittmeadows2","49.2545201","-122.6668191"
"282","HR",7,"HR10","7_HR10",2022,"HR7_10_07","LASY","B. vosnesenskii","B. vosnesenskii","","","","y","n","","bcparasite03_G1","harvieroad2","49.1588394","-122.7276809"
"283","HR",1,"HR23","1_HR23",2022,"HR1_23_03","SOAU","B. mixtus","B. mixtus"," ","mixtus_DNA_05","H3","y","y","","bcparasite03_G11","harvieroad4","49.1518644","-122.70223"
"284","W",4,"W26","4_W26",2022,"W4_26_02","flying","B. mixtus","B. mixtus","","mixtus_DNA_04","G10","y","n","","bcparasite03_G12","westham2","49.0997928","-123.1571369"
"285","SD",7,"SD09","7_SD09",2022,"SD7_09_02","TRRE","B. mixtus","B. mixtus","","mixtus_DNA_05","H11","y","y","","bcparasite03_G2","southdelta1","49.0661823","-123.0625536"
"286","NR",8,"NR05A","8_NR05A",2022,"NR8_05A_06","TAVU","B. impatiens","B. impatiens","","impatiens_DNA_08","A7","y","n","","bcparasite03_G3","nicomekl1","49.0858886","-122.7602928"
